<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.02.01	1.08610	1.10010	1.08522	1.09890	97681	0	0
2023.02.02	1.09893	1.10330	1.08854	1.09097	117680	0	0
2023.02.03	1.09097	1.09402	1.07924	1.07943	106371	0	0
2023.02.06	1.07809	1.07990	1.07096	1.07252	92317	0	0
2023.02.07	1.07263	1.07666	1.06692	1.07238	112750	0	0
2023.02.08	1.07236	1.07608	1.07095	1.07103	78597	0	0
2023.02.09	1.07100	1.07907	1.07081	1.07336	81918	0	0
2023.02.10	1.07330	1.07529	1.06663	1.06747	91389	0	0
2023.02.13	1.06797	1.07300	1.06555	1.07187	73923	0	0
2023.02.14	1.07179	1.08045	1.07069	1.07365	123152	0	0
2023.02.15	1.07370	1.07445	1.06605	1.06877	93143	0	0
2023.02.16	1.06877	1.07224	1.06545	1.06726	103026	0	0
2023.02.17	1.06725	1.06984	1.06128	1.06904	89101	0	0
2023.02.20	1.06845	1.07048	1.06703	1.06854	49855	0	0
2023.02.21	1.06854	1.06981	1.06375	1.06433	90485	0	0
2023.02.22	1.06444	1.06641	1.05991	1.06030	96979	0	0
2023.02.23	1.06017	1.06278	1.05770	1.05946	80692	0	0
2023.02.24	1.05945	1.06145	1.05362	1.05439	96893	0	0
2023.02.27	1.05429	1.06200	1.05329	1.06094	77438	0	0
2023.02.28	1.06095	1.06454	1.05740	1.05751	81172	0	0
2023.03.01	1.05752	1.06915	1.05653	1.06664	98892	0	0
2023.03.02	1.06655	1.06728	1.05766	1.05969	86842	0	0
2023.03.03	1.05968	1.06387	1.05883	1.06350	75712	0	0
2023.03.06	1.06210	1.06944	1.06210	1.06795	71485	0	0
2023.03.07	1.06795	1.06944	1.05461	1.05491	94891	0	0
2023.03.08	1.05489	1.05740	1.05244	1.05436	74968	0	0
2023.03.09	1.05425	1.05912	1.05370	1.05798	69165	0	0
2023.03.10	1.05798	1.07007	1.05740	1.06391	127346	0	0
2023.03.12	1.06835	1.06967	1.06794	1.06938	264	0	2
2023.03.13	1.06938	1.07487	1.06504	1.07271	178097	0	0
2023.03.14	1.07271	1.07497	1.06789	1.07322	138322	0	0
2023.03.15	1.07322	1.07599	1.05161	1.05746	151671	0	0
2023.03.16	1.05748	1.06356	1.05512	1.06128	144237	0	0
2023.03.17	1.06128	1.06853	1.06089	1.06658	106198	0	0
2023.03.19	1.06883	1.06883	1.06800	1.06836	288	0	0
2023.03.20	1.06834	1.07309	1.06314	1.07194	110792	0	0
2023.03.21	1.07192	1.07886	1.07039	1.07674	76683	0	0
2023.03.22	1.07676	1.09123	1.07590	1.08581	90319	0	0
2023.03.23	1.08593	1.09297	1.08242	1.08326	96341	0	0
2023.03.24	1.08330	1.08386	1.07131	1.07587	101281	0	0
2023.03.27	1.07751	1.08001	1.07450	1.07969	69659	0	0
2023.03.28	1.07961	1.08487	1.07942	1.08447	62799	0	0
2023.03.29	1.08431	1.08716	1.08177	1.08436	63456	0	0
2023.03.30	1.08434	1.09265	1.08236	1.09053	67667	0	0
2023.03.31	1.09057	1.09258	1.08366	1.08371	70683	0	0
2023.04.03	1.08397	1.09168	1.07883	1.08918	73592	0	0
2023.04.04	1.08942	1.09734	1.08828	1.09500	72924	0	0
2023.04.05	1.09499	1.09698	1.08911	1.09017	68344	0	0
2023.04.06	1.09017	1.09377	1.08845	1.09202	55523	0	0
2023.04.07	1.09200	1.09240	1.08765	1.08998	21970	0	0
2023.04.10	1.08973	1.09173	1.08314	1.08584	43217	0	0
2023.04.11	1.08553	1.09281	1.08521	1.09110	57937	0	0
2023.04.12	1.09110	1.10003	1.09086	1.09913	63919	0	0
2023.04.13	1.09918	1.10677	1.09766	1.10464	59404	0	0
2023.04.14	1.10463	1.10759	1.09724	1.09870	65277	0	0
2023.04.17	1.09887	1.09998	1.09092	1.09229	60170	0	0
2023.04.18	1.09222	1.09831	1.09206	1.09718	53504	0	0
2023.04.19	1.09718	1.09841	1.09173	1.09540	61751	0	0
2023.04.20	1.09540	1.09898	1.09336	1.09678	61922	0	0
2023.04.21	1.09678	1.09937	1.09381	1.09875	61697	0	0
2023.04.24	1.09911	1.10502	1.09658	1.10455	52564	0	0
2023.04.25	1.10454	1.10671	1.09642	1.09719	62101	0	0
2023.04.26	1.09716	1.10955	1.09659	1.10401	75269	0	0
2023.04.27	1.10399	1.10636	1.09921	1.10278	62251	0	0
2023.04.28	1.10277	1.10449	1.09625	1.10133	80086	0	0
2023.05.01	1.10212	1.10357	1.09644	1.09719	51875	0	0
2023.05.02	1.09719	1.10081	1.09421	1.09995	65691	0	0
2023.05.03	1.09995	1.10917	1.09975	1.10593	73657	0	0
2023.05.04	1.10588	1.10917	1.09862	1.10121	87913	0	0
2023.05.05	1.10110	1.10479	1.09668	1.10164	60555	0	0
2023.05.08	1.10192	1.10536	1.10002	1.10034	42286	0	0
2023.05.09	1.10031	1.10053	1.09412	1.09601	46959	0	0
2023.05.10	1.09601	1.10070	1.09415	1.09814	58650	0	0
2023.05.11	1.09811	1.09982	1.09001	1.09154	64473	0	0
2023.05.12	1.09153	1.09356	1.08472	1.08472	48683	0	0
2023.05.15	1.08603	1.08909	1.08455	1.08745	44836	0	0
2023.05.16	1.08739	1.09046	1.08549	1.08614	56470	0	0
2023.05.17	1.08611	1.08737	1.08103	1.08392	53716	0	0
2023.05.18	1.08392	1.08481	1.07625	1.07698	49260	0	0
2023.05.19	1.07696	1.08290	1.07600	1.08009	62112	0	0
2023.05.22	1.08040	1.08313	1.07955	1.08125	50936	0	0
2023.05.23	1.08131	1.08206	1.07603	1.07692	57028	0	0
2023.05.24	1.07692	1.08014	1.07482	1.07492	61253	0	0
2023.05.25	1.07497	1.07567	1.07074	1.07252	60191	0	0
2023.05.26	1.07249	1.07587	1.07017	1.07212	59765	0	0
2023.05.29	1.07154	1.07436	1.07055	1.07071	23541	0	0
2023.05.30	1.07071	1.07467	1.06725	1.07342	57693	0	0
2023.05.31	1.07342	1.07357	1.06351	1.06887	67343	0	0
2023.06.01	1.06887	1.07684	1.06618	1.07620	63712	0	0
